Time [s],Pressure [cmH2O],Flow [L/s],V_tidal [L],Inspiratory Indicies,Weight [kg]
0,6.27587437901872,-1.14981523877425,0,279,78
0.01,6.22223442706129,-1.14981523877425,-0.0114981523877425,1087,0
0.02,6.22223442706129,-1.16525669867771,-0.0230735120750023,1845,0
0.03,6.30805835019317,-1.12889811881163,-0.0345442861624489,2673,0
0.04,6.19005045588684,-1.12889811881163,-0.0458332673505652,0,0
0.05,6.19005045588684,-1.16525669867771,-0.0573040414380119,0,0
0.06,6.15786648471238,-1.06926826888229,-0.0684766662758119,0,0
0.07,6.24369040784426,-1.08585575530746,-0.0792522863967606,0,0
0.08,6.13641050392941,-1.11295232250112,-0.0902463267858035,0,0
0.09,6.15786648471238,-1.13416356528575,-0.101481906224738,0,0
0.1,6.15786648471238,-1.15498533041885,-0.112927650703261,0,0
0.11,6.0720425615805,-1.12889811881163,-0.124347067949413,0,0
0.12,6.10422653275496,-1.09677471782716,-0.135475432132607,0,0
0.13,6.0720425615805,-1.14462179480919,-0.146682414695789,0,0
0.14,6.0720425615805,-1.08585575530746,-0.157834802446372,0,0
0.15,6.10422653275496,-1.12889811881163,-0.168908571816968,0,0
0.16,6.10422653275496,-1.1021936362682,-0.180064030592367,0,0
0.17,6.10422653275496,-1.05806548498097,-0.190865326198613,0,0
0.18,6.0720425615805,-1.05806548498097,-0.201445981048422,0,0
0.19,6.01840260962308,-1.04674280994783,-0.211970022523066,0,0
0.2,5.9325786864912,-1.04674280994783,-0.222437450622545,0,0
0.21,5.9325786864912,-1.05806548498097,-0.232961492097189,0,0
0.22,6.01840260962308,-1.0001711197867,-0.243252675121027,0,0
0.23,5.88966672492526,-1.05806548498097,-0.253543858144865,0,0
0.24,6.01840260962308,-1.02952533707612,-0.263981812255151,0,0
0.25,6.01840260962308,-1.05806548498097,-0.274419766365436,0,0
0.26,5.88966672492526,-1.08585575530746,-0.285139372566878,0,0
0.27,5.88966672492526,-1.01201498466471,-0.295628726266739,0,0
0.28,5.95403466727417,-0.988185310822242,-0.305629727744174,0,0
0.29,5.88966672492526,-1.05806548498097,-0.31586098172319,0,0
0.3,5.8574827537508,-1.04674280994783,-0.326385023197834,0,0
0.31,5.9325786864912,-1.01201498466471,-0.336678812170896,0,0
0.32,5.9325786864912,-1.08585575530746,-0.347168165870757,0,0
0.33,5.88966672492526,-0.951322252201257,-0.357354055908301,0,0
0.34,6.01840260962308,-1.04103529239513,-0.367315843631283,0,0
0.35,5.8574827537508,-1.06926826888229,-0.37786736143767,0,0
0.36,5.9325786864912,-1.01201498466471,-0.388273777705405,0,0
0.37,5.88966672492526,-1.01788523879226,-0.39842327882269,0,0
0.38,5.88966672492526,-1.0001711197867,-0.408513560615584,0,0
0.39,5.88966672492526,-1.01201498466471,-0.418574491137841,0,0
0.4,5.88966672492526,-1.02952533707612,-0.428782192746545,0,0
0.41,5.88966672492526,-0.982137555722002,-0.438840507210536,0,0
0.42,5.88966672492526,-1.05806548498097,-0.449041522414051,0,0
0.43,5.88966672492526,-1.0001711197867,-0.459332705437889,0,0
0.44,5.9325786864912,-1.01788523879226,-0.469422987230784,0,0
0.45,5.88966672492526,-1.0001711197867,-0.479513269023679,0,0
0.46,5.88966672492526,-1.04674280994783,-0.489747838672351,0,0
0.47,5.88966672492526,-0.963766614831515,-0.499800385796248,0,0
0.48,5.95403466727417,-0.951322252201257,-0.509375830131412,0,0
0.49,5.77165883061892,-1.01201498466471,-0.519192516315742,0,0
0.5,5.80384280179338,-0.982137555722002,-0.529163279017675,0,0
0.51,5.83602677296783,-1.0001711197867,-0.539074822395219,0,0
0.52,5.73947485944447,-0.963766614831515,-0.54889451106831,0,0
0.53,5.88966672492526,-1.07482587473683,-0.559087473516152,0,0
0.54,5.95403466727417,-1.04103529239513,-0.569666779351812,0,0
0.55,6.05058658079753,-1.04674280994783,-0.580105669863526,0,0
0.56,6.13641050392941,-1.06926826888229,-0.590685725257677,0,0
0.57,6.15786648471238,-1.06926826888229,-0.6013784079465,0,0
0.58,6.30805835019317,-1.08585575530746,-0.612154028067449,0,0
0.59,6.42606624449951,-1.06926826888229,-0.622929648188397,0,0
0.6,6.42606624449951,-1.12889811881163,-0.633920480126867,0,0
0.61,6.44752222528248,-1.14981523877425,-0.645314046914796,0,0
0.62,6.51189016763139,-1.13416356528575,-0.656733940935096,0,0
0.63,6.47970619645693,-1.17543831575451,-0.668281950340298,0,0
0.64,6.44752222528248,-1.14981523877425,-0.679908218112941,0,0
0.65,6.47970619645693,-1.18553249406093,-0.691584956777117,0,0
0.66,6.47970619645693,-1.13416356528575,-0.703183437073851,0,0
0.67,6.54407413880584,-1.17543831575451,-0.714731446479052,0,0
0.68,6.47970619645693,-1.20051463338441,-0.726611211224747,0,0
0.69,6.60844208115475,-1.16525669867771,-0.738440067885057,0,0
0.7,6.54407413880584,-1.17543831575451,-0.750143542957218,0,0
0.71,6.47970619645693,-1.19054748945163,-0.761973471983249,0,0
0.72,6.56553011958881,-1.16525669867771,-0.773752492923896,0,0
0.73,6.39388227332505,-1.18553249406093,-0.785506438887589,0,0
0.74,6.39388227332505,-1.12889811881163,-0.797078591951952,0,0
0.75,6.24369040784426,-1.16525669867771,-0.808549366039398,0,0
0.76,6.13641050392941,-1.17543831575451,-0.820252841111559,0,0
0.77,6.27587437901872,-1.08585575530746,-0.831559311466869,0,0
0.78,6.22223442706129,-1.12889811881163,-0.842633080837465,0,0
0.79,6.15786648471238,-1.05806548498097,-0.853567898856428,0,0
0.8,6.10422653275496,-1.17543831575451,-0.864735417860105,0,0
0.81,6.10422653275496,-1.12360799769811,-0.876230649427368,0,0
0.82,6.15786648471238,-1.11829285177269,-0.887440153674722,0,0
0.83,6.15786648471238,-1.05806548498097,-0.898321945358491,0,0
0.84,6.15786648471238,-1.07482587473683,-0.90898640215708,0,0
0.85,6.0720425615805,-1.08585575530746,-0.919789810307301,0,0
0.86,6.10422653275496,-1.06926826888229,-0.93056543042825,0,0
